codice,file,w,h,keep,elementi,item,item_w,item_h,dcol,dedge,ink,item_rot
PA131P,PA131P__solo.webp,1066,844,0.879,3,PA131P__item.webp,662,243,37.47,0.0146,,
PA132,PA132__solo.webp,926,869,0.911,2,PA132__item.webp,538,799,,,,
PA133,PA133__solo.webp,913,830,0.909,2,PA133__item.webp,540,792,,,,
PA135,PA135__solo.webp,1531,893,0.993,3,PA135__item.webp,784,414,,,,
PA136,PA136__solo.webp,1319,891,0.963,5,PA136__item.webp,900,508,45.29,0.1833,,
PA136L,PA136L__solo.webp,1455,930,0.936,3,PA136L__item.webp,784,333,45.29,0.1833,,
PA137-3,PA137-3__solo.webp,909,808,0.874,4,PA137-3__item.webp,332,172,84.85,0.1793,,
PA137,PA137__solo.webp,1527,879,0.91,5,PA137__item.webp,425,239,84.85,0.1793,,
PA137M-3,PA137M-3__solo.webp,1086,850,0.88,2,PA137M-3__item.webp,498,678,84.85,0.1793,,
PA137M,PA137M__solo.webp,902,757,0.855,5,PA137M__item.webp,220,129,84.85,0.1793,,
PA138-3,PA138-3__solo.webp,1217,925,0.822,5,PA138-3__p1.webp,409,847,2.36,0.084,,
